no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
89937,"물탱크실,에레베타실,기계실",비공조,N,기계실|기계|물탱|물탱크|탱크,1,121.7
89938,다중주택(주차장;19.46㎡),비공조,Y,주차|주차장,1,99.8
89939,"주차장408.19㎡,창고.계단실48.32㎡",비공조,Y,계단|계단실|주차|주차장,1,456.5
89940,주차장/보행통로,비공조,Y,주차|주차장|통로,1,54.6
89941,"계단실,홀,경비실,관리실,mdf실,방재실",비공조,N,계단|계단실|mdf|방재실,1,76.5
89942,"홀,계단실,안내실",비공조,N,계단|계단실,1,49.8
89943,물탱크(연면적제외-11.92),비공조,N,물탱|물탱크|탱크|연면적제외|면적제외,1,11.9
89944,2세대102.18주차장25.74,비공조,Y,주차|주차장,1,127.9
89945,"근린생활시설(다방179.16,이용원76.41)기계실115.36주차시설320.99",비공조,Y,주차|주차시설|기계실|기계,1,691.9
89946,"제2종근린생활시설372.61㎡,주차시설27.30㎡",비공조,Y,주차|주차시설,1,399.9
89947,"펌프실,co2실",비공조,N,펌프,1,26.7
89948,물탱크실전기실(연면적제외),비공조,N,전기실|전기|물탱|물탱크|탱크|연면적제외|면적제외,1,113.9
89949,"사무실,소장실,차고,화장실,대기실,수관건조실,감연관리실",비공조,Y,차고|화장실|건조실,1,432.8
89950,"계단,체력.휴게.보일러실",비공조,N,계단|보일러,1,145.7
89951,"대기실,식당,창고,화장실,탈의실",비공조,N,화장실,1,407.5
89952,"빗물저류조,정화조,기계실",비공조,N,기계실|기계|정화조|정화|빗물,1,37.2
89953,주차장(103.68)보일러실(45.00),비공조,Y,주차|주차장|보일러,1,148.7
89954,차고27.42,비공조,Y,차고,1,0.0
89955,"주택(2가구)94.05㎡,주차장(1대)12.15㎡",비공조,Y,주차|주차장,1,106.2
89956,통로계단실,비공조,N,계단|계단실|통로,1,52.1
89957,"관리실,mdf실,보육실,휴게실",비공조,N,mdf,1,116.1
89958,주차장186.67,비공조,Y,주차|주차장,1,349.6
89959,"근린생활시설(소매점83,61㎡),차고93,95㎡",비공조,Y,차고,1,177.6
89960,연면적산정제외(계단실),비공조,N,계단|계단실,1,7.6
89961,"문화및집회시설(전시장,계단실)",비공조,N,계단|계단실,1,298.1
89962,"다가구주택,부설주차장",비공조,Y,주차|주차장,1,66.2
89963,"물탱크실,계단실,elev.기계실(연면적제외)",비공조,N,계단|계단실|elev|기계실|기계|물탱|물탱크|탱크|연면적제외|면적제외,1,122.0
89964,"판매시설1673.05㎡(코아.계단285.76㎡,창고관리40.09㎡)",비공조,N,계단,1,1998.9
89965,"아파트277.20㎡(코아,계단81.12㎡)",비공조,N,계단,1,358.3
89966,"아파트(코아,계단42.89㎡,주차장982.07㎡)",비공조,Y,계단|주차|주차장,1,1025.0
89967,"판매시설1569.83㎡(코아.계단136.435㎡),아파트(코아.계단56.565㎡)",비공조,N,계단,1,1762.8
89968,"판매시설1568.19㎡(코아.계단136.435㎡,창고관리34.915㎡)",비공조,N,계단,1,1739.5
89969,"판매시설1593.87㎡(코아.계단136.435㎡,창고관리34.915㎡)",비공조,N,계단,1,1765.2
89970,"판매시설99.46㎡(코아.계단216.41㎡,주차장89.59㎡)",비공조,Y,계단|주차|주차장,1,405.3
89971,"판매시설(기계실119.84㎡,주차장169.155㎡)",비공조,Y,주차|주차장|기계실|기계,1,289.0
89972,"위락시설435.32㎡,근린생활시설1213.91㎡,아파트(코아.계단25.23㎡,주차장12.80㎡)",비공조,Y,계단|주차|주차장,1,1687.3
89973,"판매시설1231.44㎡(코아.계단185.82㎡,창고관리23.60㎡),아파트(코아.계단42.61㎡,관리실8.06㎡)",비공조,N,계단,1,1491.5
89974,"판매시설(코아.계단164.62㎡,기계실188.10㎡,주차장1164,33㎡)",비공조,Y,계단|주차|주차장|기계실|기계,1,1517.0
89975,"판매시설(코아.계단22.56㎡,기계실87.92㎡)",비공조,N,계단|기계실|기계,1,110.5
89976,다세대주택(부설주차장(면적제외:102.94)),비공조,Y,주차|주차장|면적제외,1,102.9
89977,"계단실,엘리베이터.(연면적제외)",비공조,N,계단|계단실|엘리베이터|연면적제외|면적제외,1,16.7
89978,"계단실,엘리베이터기계실.(연면적제외)",비공조,N,계단|계단실|엘리베이터|기계실|기계|연면적제외|면적제외,1,17.8
89979,"다세대주택(1세대):74.90,주차장:81.75",비공조,Y,주차|주차장,1,156.7
89980,다세대주택(주차장면적(155.94m2)제외),비공조,Y,주차|주차장,1,9.4
89981,다세대주택(계단실면적(9.36m2)제외),비공조,N,계단|계단실,1,9.4
89982,옥내주차장;70.92/다세대주택(1세대);68.51,비공조,Y,주차|주차장,1,139.4
89983,물탱크실(8.16)계단실(4.56),비공조,N,계단|계단실|물탱|물탱크|탱크,1,12.7
89984,도시형생활주택(단지형다세대주택-기계실)/연면적제외,비공조,N,기계실|기계|연면적제외|면적제외,1,11.9
89985,계단실/elev/(주차장-2대/연면적제외),비공조,Y,계단|계단실|elev|주차|주차장|연면적제외|면적제외,1,16.2
89986,"휀룸,방호원실",비공조,N,휀,1,184.4
89987,주차장42.42,비공조,Y,주차|주차장,1,42.4
89988,"주차장,보일라실,창고",비공조,Y,주차|주차장|보일라,1,428.0
89989,"전기실,펌프실,관리사무소",비공조,N,전기실|전기|펌프,1,341.0
89990,통신실/방재실/부속창고,비공조,N,통신실|방재실,1,139.8
89991,계단실/홀/장애인화장실,비공조,N,계단|계단실|화장실,1,48.1
89992,"근생,계단실,화장실",비공조,N,계단|계단실|화장실,1,71.9
89993,"판매시설(코아.계단296.73㎡,창고관리513.50㎡,기계실842.23㎡)",비공조,N,계단|기계실|기계,1,1652.5
